index_name,index_key,csv_path,mirror_file,on_mirror,family,members_at_harvest
Nifty NBFC,IDX:NIFTYNBFC,ind_niftyNBFC_list.csv,ind_niftyNBFC_list.csv,no,sectoral,19
Nifty Next 50,IDX:NIFTYNEXT50,ind_niftynext50list.csv,ind_niftynext50list.csv,yes,broad,50
Nifty Non-Cyclical Consumer,IDX:NIFTYNON-CYCLICALCONSUMER,ind_niftynon-cyclicalconsumer_list.csv,ind_niftynon-cyclicalconsumer_list.csv,yes,thematic,30
Nifty Oil & Gas,IDX:NIFTYOIL&GAS,ind_niftyoilgaslist.csv,ind_niftyoilgaslist.csv,yes,sectoral,15
Nifty Pharma,IDX:NIFTYPHARMA,ind_niftypharmalist.csv,ind_niftypharmalist.csv,yes,sectoral,20
Nifty Power,IDX:NIFTYPOWER,ind_niftyPower_list.csv,ind_niftyPower_list.csv,no,sectoral,21
Nifty Private Bank,IDX:NIFTYPRIVATEBANK,ind_nifty_privatebanklist.csv,ind_nifty_privatebanklist.csv,yes,sectoral,10
Nifty PSE,IDX:NIFTYPSE,ind_niftypselist.csv,ind_niftypselist.csv,yes,thematic,20
Nifty PSU Bank,IDX:NIFTYPSUBANK,ind_niftypsubanklist.csv,ind_niftypsubanklist.csv,yes,sectoral,12
NIFTY Quality Low-Volatility 30,IDX:NIFTYQUALITYLOW-VOLATILITY30,ind_nifty_quality_lowvol30list.csv,ind_nifty_quality_lowvol30list.csv,yes,strategy,30
Nifty Realty,IDX:NIFTYREALTY,ind_niftyrealtylist.csv,ind_niftyrealtylist.csv,yes,sectoral,10
Nifty REITs & InvITs,IDX:NIFTYREITS&INVITS,ind_niftyREITs_InvITs_list.csv,ind_niftyREITs_InvITs_list.csv,yes,thematic,13
Nifty REITs & InvITs 90:10,IDX:NIFTYREITS&INVITS90:10,ind_niftyREITsInvITs9010list.csv,ind_niftyREITsInvITs9010list.csv,no,thematic,13
Nifty REITs & Realty,IDX:NIFTYREITS&REALTY,ind_niftyREITsRealty_list.csv,ind_niftyREITsRealty_list.csv,yes,sectoral,15
Nifty Retail,IDX:NIFTYRETAIL,ind_niftyRetail_list.csv,ind_niftyRetail_list.csv,no,sectoral,26
Nifty Rural,IDX:NIFTYRURAL,ind_niftyRural_list.csv,ind_niftyRural_list.csv,yes,thematic,75
Nifty Services Sector,IDX:NIFTYSERVICESSECTOR,ind_niftyservicelist.csv,ind_niftyservicelist.csv,yes,thematic,30
Nifty Small Finance Banks & Microfinance Institutions,IDX:NIFTYSMALLFINANCEBANKS&MICROFINANCEINSTITUTIONS,ind_niftySFBsMfis_list.csv,ind_niftySFBsMfis_list.csv,no,thematic,10
NIFTY Smallcap 100,IDX:NIFTYSMALLCAP100,ind_niftysmallcap100list.csv,ind_niftysmallcap100list.csv,yes,broad,100
Nifty Smallcap 250,IDX:NIFTYSMALLCAP250,ind_niftysmallcap250list.csv,ind_niftysmallcap250list.csv,yes,broad,250
Nifty Smallcap 50,IDX:NIFTYSMALLCAP50,ind_niftysmallcap50list.csv,ind_niftysmallcap50list.csv,yes,broad,50
Nifty Smallcap 500,IDX:NIFTYSMALLCAP500,ind_NiftySmallcap500_list.csv,ind_NiftySmallcap500_list.csv,no,broad,500
Nifty Smallcap250 Momentum Quality 100,IDX:NIFTYSMALLCAP250MOMENTUMQUALITY100,ind_niftySmallcap250MomentumQuality100_list.csv,ind_niftySmallcap250MomentumQuality100_list.csv,yes,strategy,100
Nifty Smallcap250 Quality 50,IDX:NIFTYSMALLCAP250QUALITY50,ind_niftySmallcap250_Quality50_list.csv,ind_niftySmallcap250_Quality50_list.csv,yes,strategy,50
NIFTY SME EMERGE,IDX:NIFTYSMEEMERGE,ind_niftysmelist.csv,ind_niftysmelist.csv,yes,thematic,532
Nifty Sugar & Ethanol,IDX:NIFTYSUGAR&ETHANOL,ind_niftySugarEthanol_list.csv,ind_niftySugarEthanol_list.csv,no,thematic,15
Nifty Telecommunications,IDX:NIFTYTELECOMMUNICATIONS,ind_niftyTelecommunications_list.csv,ind_niftyTelecommunications_list.csv,no,sectoral,13
Nifty Top 10 Equal Weight,IDX:NIFTYTOP10EQUALWEIGHT,ind_niftytop10EqualWeight_list.csv,ind_niftytop10EqualWeight_list.csv,yes,strategy,10
Nifty Top 15 Equal Weight,IDX:NIFTYTOP15EQUALWEIGHT,ind_niftytop15EqualWeight_list.csv,ind_niftytop15EqualWeight_list.csv,yes,strategy,15
Nifty Top 20 Equal Weight,IDX:NIFTYTOP20EQUALWEIGHT,ind_niftyTop20EqualWeight_list.csv,ind_niftyTop20EqualWeight_list.csv,yes,strategy,20
Nifty Total Market,IDX:NIFTYTOTALMARKET,ind_niftytotalmarket_list.csv,ind_niftytotalmarket_list.csv,yes,broad,750
