instrument_key,symbol,sector,industry,basic_industry
INE25E901019,OMPOWER,Construction,Construction,Civil Construction
INE1K0V01011,MTL,Consumer Services,Retailing,Speciality Retail
INE12F801023,KISSHT,Financial Services,Finance,Other Financial Services
INE2B6701015,RECODE,Fast Moving Consumer Goods,Personal Products,Personal Care
INE368U01029,UNITEDPOLY,Textiles,Textiles & Apparels,Other Textile Products
INE032Z01020,BSHSL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE1CLW01015,GLPL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE0JYY01029,MWL,Capital Goods,Industrial Products,Iron & Steel Products
INE1L3801017,VPAL,Consumer Services,Leisure Services,Restaurants
INE18HI01019,AFLTD,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE0YD301010,MANIVENI,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE1UYW01010,HARIKANTA,Textiles,Textiles & Apparels,Other Textile Products
INE1T6L01010,YAASHVI,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
INE1GM501015,RFIL,Textiles,Textiles & Apparels,Garments & Apparels
INE1KVL01010,AUREATE,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
INE1RQS01010,MRTX,Capital Goods,Industrial Manufacturing,Industrial Products
INE11XK01017,SMR,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
INE00WV01027,CMRGREEN,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
INE0H3U01013,VAHH,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE0YZ901011,UHMVL,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE1CDF01017,VAML,Metals & Mining,Non - Ferrous Metals,Aluminium
INE694L01019,VEDPOWER,Power,Power,Power Generation
INE704J01044,VOGL,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production
INE255Z01027,E2E,Information Technology,IT - Services,IT Enabled Services
INE1CLE01013,VISL,Metals & Mining,Ferrous Metals,Iron & Steel
INE0JUI01012,HEXAGON,Fast Moving Consumer Goods,Food Products,Other Food Products
INE155D01018,SELECTRIC,Capital Goods,Electrical Equipment,Other Electrical Equipment
INE2L0V01019,SUSAN,Capital Goods,Industrial Products,Cables - Electricals
INE1SEO01013,HORIZON,Capital Goods,Industrial Products,Rubber
INE0TKX01011,LIOTECH,Capital Goods,Industrial Products,Other Industrial Products
INE0X6O01027,LESL,Construction,Construction,Civil Construction
INE1OSI01014,DIKSHA,Capital Goods,Industrial Products,Packaging
INE0OC301013,TURTLEMINT,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech)
INE1O7201010,ANUBHAV,Capital Goods,Industrial Products,Iron & Steel Products
INE0LZF01013,CORDELIA,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE1SJO01012,RAMBHAJO,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
INE0KYI01012,RIYAASAT,Textiles,Textiles & Apparels,Garments & Apparels
